Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2009,40,7.826909435,7.23411,7.50529,46519,3491,150
2009,41,8.353011893,7.32283,7.59398,46582,3717,174
2009,42,8.59166474,7.41794,7.68906,47581,3849,239
2009,43,8.738968931,7.51805,7.78913,46573,3775,295
2009,44,8.774517033,7.62168,7.89273,47467,3865,300
2009,45,8.865883742,7.72731,7.99833,47429,3937,268
2009,46,8.445388063,7.83339,8.10437,46629,3729,209
2009,47,8.25559902,7.93837,8.20931,46526,3661,180
2009,48,8.166162196,8.0407,8.31161,47905,3785,127
2009,49,8.27866861,8.13888,8.40976,49392,3984,105
2009,50,8.296082575,8.23147,8.50232,49216,3999,84
2009,51,7.934895251,8.31712,8.58793,49213,3841,64
2009,52,8.773302832,8.39455,8.66533,49833,4325,47
2010,1,8.744220383,8.46265,8.7334,51474,4464,37
2010,2,8.809981925,8.5204,8.79111,51453,4494,39
2010,3,8.702696216,8.56694,8.83762,49996,4323,28
2010,4,8.472654559,8.60159,8.87223,48509,4081,29
2010,5,8.378284854,8.62382,8.89443,49127,4089,27
2010,6,8.309752501,8.63331,8.90389,50182,4132,38
2010,7,8.434259479,8.62989,8.90043,50532,4239,23
2010,8,8.614888407,8.61359,8.8841,50227,4297,30
2010,9,8.678481415,8.58465,8.85512,50389,4345,28
2010,10,8.780934193,8.54345,8.81389,50268,4384,30
2010,11,8.649579577,8.49058,8.76099,49355,4240,29
2010,12,8.515699334,8.42678,8.69716,48346,4092,25
2010,13,8.225400528,8.35297,8.62331,48873,3992,28
2010,14,8.368883312,8.27019,8.5405,47820,3988,14
2010,15,7.941188951,8.17963,8.44991,47134,3730,13
2010,16,7.677962832,8.08258,8.35282,46653,3573,9
2010,17,7.801816182,7.98042,8.25063,46361,3610,7
2010,18,7.651948613,7.87462,8.1448,46315,3536,8
2010,19,7.480925902,7.76669,8.03684,46398,3467,4
2010,20,7.501151493,7.65818,7.92828,45593,3417,3
2010,21,7.154300261,7.55062,7.8207,45567,3258,2
2010,22,7.20033603,7.44557,7.71561,45234,3253,4
2010,23,7.360191889,7.34453,7.61453,45026,3309,5
2010,24,7.033652676,7.24892,7.5189,45197,3177,2
2010,25,7.04426996,7.16013,7.43007,44703,3146,3
2010,26,7.053431701,7.07941,7.34931,44730,3151,4
2010,27,7.059158508,7.0079,7.27777,45657,3220,3
2010,28,6.960179847,6.94663,7.21647,44927,3122,5
2010,29,6.929341746,6.89646,7.16626,44694,3094,3
2010,30,6.689966178,6.85808,7.12785,44350,2964,3
2010,31,6.773379769,6.83204,7.10178,44793,3033,1
2010,32,6.6023522,6.81869,7.08839,44469,2931,5
2010,33,6.790220643,6.8182,7.08787,44461,3016,3
2010,34,6.540540541,6.83054,7.10018,44400,2902,2
2010,35,6.888708733,6.85553,7.12513,44406,3057,2
2010,36,7.0759023,6.89277,7.16234,44913,3175,3
2010,37,7.068276639,6.94169,7.21123,45301,3198,4
2010,38,6.881434739,7.00158,7.27108,45165,3107,1
2010,39,7.116872809,7.07152,7.34099,45357,3222,6
2010,40,7.007462047,7.17123,7.51903,46636,3263,5
2010,41,7.450071862,7.25991,7.60749,46617,3466,7
2010,42,7.286496118,7.35655,7.70391,47142,3432,3
2010,43,7.524667525,7.45967,7.80682,46620,3503,5
2010,44,7.391029691,7.56771,7.91463,47490,3505,5
2010,45,7.463795024,7.67901,8.02572,48474,3615,3
2010,46,7.383887436,7.79191,8.1384,48186,3549,9
2010,47,7.583870158,7.90468,8.25096,47812,3613,13
2010,48,7.911508763,8.01564,8.36169,48954,3864,9
2010,49,7.646182865,8.12309,8.46893,50365,3838,13
2010,50,7.900175473,8.22543,8.57106,51290,4040,12
2010,51,8.099670123,8.32111,8.66651,50928,4107,18
2010,52,8.731796921,8.40867,8.75386,52807,4581,30
2011,1,9.084465005,8.4868,8.83178,53608,4817,53
2011,2,9.065279092,8.55431,8.89906,52850,4725,66
2011,3,9.091773295,8.61015,8.95469,52597,4715,67
2011,4,9.356591364,8.65347,8.99779,52455,4820,88
2011,5,9.216298538,8.68358,9.02769,52201,4705,106
2011,6,9.267481626,8.7,9.04389,52927,4755,150
2011,7,9.637789395,8.70243,9.0461,53560,4970,192
2011,8,9.888643124,8.69079,9.03424,52444,5013,173
2011,9,9.561928052,8.66519,9.00843,52343,4822,183
2011,10,9.438549103,8.62595,8.96897,51830,4727,165
2011,11,9.138992116,8.57358,8.91639,50859,4500,148
2011,12,8.888398765,8.5088,8.85139,49874,4339,94
2011,13,8.623545572,8.43248,8.77485,49504,4190,79
2011,14,8.303249098,8.34567,8.68782,49860,4064,76
2011,15,8.299201523,8.24957,8.59151,48342,3965,47
2011,16,8.180095379,8.14552,8.48724,48019,3896,32
2011,17,7.79332661,8.03496,8.37646,47592,3696,13
2011,18,7.939719675,7.91942,8.26071,47445,3747,20
2011,19,7.870604072,7.80052,8.14159,47544,3739,3
2011,20,7.682587278,7.67992,8.02077,46690,3580,7
2011,21,7.618619005,7.55928,7.89992,46662,3550,5
2011,22,7.563097783,7.4403,7.78072,46317,3498,5
2011,23,7.436579817,7.3246,7.66481,46594,3462,3
2011,24,7.26459541,7.21381,7.55379,46059,3341,5
2011,25,7.287573138,7.10943,7.4492,45804,3336,2
2011,26,7.28003476,7.01292,7.35247,46030,3348,3
2011,27,6.980047641,6.92557,7.26491,45759,3193,1
2011,28,6.943587484,6.84858,7.1877,45380,3149,2
2011,29,6.975575654,6.78298,7.12188,45774,3190,3
2011,30,6.656607793,6.72963,7.06831,45068,2997,3
2011,31,6.561639645,6.68921,7.02768,45766,3002,1
2011,32,6.683419301,6.66223,7.00048,45366,3030,2
2011,33,6.615053573,6.64899,6.98702,45079,2981,1
2011,34,6.832422344,6.64959,6.98741,45006,3072,3
2011,35,6.751304653,6.66394,7.00154,45606,3075,4
2011,36,6.647347697,6.69174,7.02912,45206,3003,2
2011,37,6.742717909,6.7325,7.06967,45145,3042,2
